lines   model                                               bleu_score  
10      google-t5/t5-base                                   12.52       
100     google-t5/t5-base                                   24.28       
200     google-t5/t5-base                                   21.64       
500     google-t5/t5-base                                   20.91       
10      Helsinki-NLP/opus-mt-en-de                          14.05       
100     Helsinki-NLP/opus-mt-en-de                          24.18       
200     Helsinki-NLP/opus-mt-en-de                          22.18       
500     Helsinki-NLP/opus-mt-en-de                          20.82       
10      facebook/nllb-200-distilled-600M                    10.83       
100     facebook/nllb-200-distilled-600M                    22.21       
200     facebook/nllb-200-distilled-600M                    20.24       
500     facebook/nllb-200-distilled-600M                    19.54       
10      facebook/mbart-large-50-many-to-many-mmt            12.18       
100     facebook/mbart-large-50-many-to-many-mmt            24.98       
200     facebook/mbart-large-50-many-to-many-mmt            22.15       
500     facebook/mbart-large-50-many-to-many-mmt            21.38       
10      DunnBC22/mbart-large-50-English_German_Translation  14.73
100     DunnBC22/mbart-large-50-English_German_Translation  13.89
200     DunnBC22/mbart-large-50-English_German_Translation  13.54
10      Tanhim/translation-En2De                            15.78
100     Tanhim/translation-En2De                            22.01
200     Tanhim/translation-En2De                            20.51
10      facebook/m2m100_418M                                7.45
100     facebook/m2m100_418M                                17.85
200     facebook/m2m100_418M                                16.56
