
=== google-t5/t5-base ===
source	translation	reference
to the atom that it hits.	auf das Atom, das es trifft.	vom Atom, auf welches er trifft.
People are more likely to support the use	Die Wahrscheinlichkeit, die Verwendung zu unterstützen, ist höher.	Die Menschen unterstützen den Einsatz von Gewalt eher,
That's why in negotiations, often, when things get tough,	Aus diesem Grund werden in Verhandlungen oft, wenn die Dinge hart werden,	und ihn wie einen Freund zu behandeln,
why the buildings failed.	warum die Gebäude gescheitert sind.	warum die Gebäude nicht standhielten.
We have confusion about what we should think about a new technology.	Wir haben Verwirrung darüber, was wir über eine neue Technologie denken sollten.	Wir sind verwirrt über das, was wir über neue Technik denken sollten.
virtually like this and showing people	praktisch so und den Menschen zu zeigen	wie hier zu sehen ist, und den Menschen
and I professionally watch YouTube videos.	und ich sehe professionelle YouTube-Videos.	Beruflich schaue ich mir YouTube-Videos an.
we lived for all those years,	wir haben all diese Jahre gelebt,	lebten wir all die Jahre,
GH: Oh, D and F -- too familiar.	GH: Oh, D und F -- zu vertraut.	Nun, sie hat C, G, H, A, E ausgesucht.
which is around 12,000 years old.	die etwa 12.000 Jahre alt ist.	der etwa 12000 Jahre alt ist.
BLEU score:	12.51844446224324

=== Helsinki-NLP/opus-mt-en-de ===
source	translation	reference
to the atom that it hits.	auf das Atom, das es trifft.	vom Atom, auf welches er trifft.
People are more likely to support the use	Die Menschen sind wahrscheinlicher, die Verwendung zu unterstützen	Die Menschen unterstützen den Einsatz von Gewalt eher,
That's why in negotiations, often, when things get tough,	Das ist, warum in Verhandlungen, oft, wenn die Dinge hart werden,	und ihn wie einen Freund zu behandeln,
why the buildings failed.	warum die Gebäude versagten.	warum die Gebäude nicht standhielten.
We have confusion about what we should think about a new technology.	Wir haben Verwirrung darüber, was wir über eine neue Technologie denken sollten.	Wir sind verwirrt über das, was wir über neue Technik denken sollten.
virtually like this and showing people	virtuell so und zeigt Menschen	wie hier zu sehen ist, und den Menschen
and I professionally watch YouTube videos.	und ich sehe mir professionell YouTube-Videos an.	Beruflich schaue ich mir YouTube-Videos an.
we lived for all those years,	Wir haben all die Jahre gelebt,	lebten wir all die Jahre,
GH: Oh, D and F -- too familiar.	GH: Oh, D und F -- zu vertraut.	Nun, sie hat C, G, H, A, E ausgesucht.
which is around 12,000 years old.	die etwa 12.000 Jahre alt ist.	der etwa 12000 Jahre alt ist.
BLEU score:	14.049427906647107

=== facebook/nllb-200-distilled-600M ===
source	translation	reference
to the atom that it hits.	auf das Atom, das es trifft.	vom Atom, auf welches er trifft.
People are more likely to support the use	Die Menschen unterstützen die Verwendung von	Die Menschen unterstützen den Einsatz von Gewalt eher,
That's why in negotiations, often, when things get tough,	Deshalb in Verhandlungen, oft, wenn die Dinge schwierig werden,	und ihn wie einen Freund zu behandeln,
why the buildings failed.	Warum die Gebäude scheiterten.	warum die Gebäude nicht standhielten.
We have confusion about what we should think about a new technology.	Wir sind verwirrt, was wir über eine neue Technologie denken sollten.	Wir sind verwirrt über das, was wir über neue Technik denken sollten.
virtually like this and showing people	So wie das und zeigen Menschen	wie hier zu sehen ist, und den Menschen
and I professionally watch YouTube videos.	Und ich schaue professionell YouTube-Videos an.	Beruflich schaue ich mir YouTube-Videos an.
we lived for all those years,	Wir haben all diese Jahre gelebt.	lebten wir all die Jahre,
GH: Oh, D and F -- too familiar.	GH: Oh, D und F -- zu vertraut.	Nun, sie hat C, G, H, A, E ausgesucht.
which is around 12,000 years old.	Das ist etwa 12.000 Jahre alt.	der etwa 12000 Jahre alt ist.
BLEU score:	10.834211935435162

=== facebook/mbart-large-50-many-to-many-mmt ===
source	translation	reference
to the atom that it hits.	auf das Atom, das es trifft.	vom Atom, auf welches er trifft.
People are more likely to support the use	Menschen sind wahrscheinlicher, die Verwendung zu unterstützen	Die Menschen unterstützen den Einsatz von Gewalt eher,
That's why in negotiations, often, when things get tough,	Das ist, warum in Verhandlungen, oft, wenn die Dinge hart werden,	und ihn wie einen Freund zu behandeln,
why the buildings failed.	warum die Gebäude gescheitert sind.	warum die Gebäude nicht standhielten.
We have confusion about what we should think about a new technology.	Wir haben Verwirrung darüber, was wir über eine neue Technologie denken sollten.	Wir sind verwirrt über das, was wir über neue Technik denken sollten.
virtually like this and showing people	virtuell wie dies und zeigen die Menschen	wie hier zu sehen ist, und den Menschen
and I professionally watch YouTube videos.	und ich sehe professionell YouTube-Videos.	Beruflich schaue ich mir YouTube-Videos an.
we lived for all those years,	wir lebten all diese Jahre,	lebten wir all die Jahre,
GH: Oh, D and F -- too familiar.	GH: Oh, D und F -- zu vertraut.	Nun, sie hat C, G, H, A, E ausgesucht.
which is around 12,000 years old.	das etwa 12.000 Jahre alt ist.	der etwa 12000 Jahre alt ist.
BLEU score:	12.18238828707514

=== DunnBC22/mbart-large-50-English_German_Translation ===
source	translation	reference
to the atom that it hits.	zu dem Atom, das er trifft.	vom Atom, auf welches er trifft.
People are more likely to support the use	Menschen sind eher bereit, die Verwendung zu unterstützen	Die Menschen unterstützen den Einsatz von Gewalt eher,
That's why in negotiations, often, when things get tough,	Deshalb werden Verhandlungen oft schwierig, wenn die Verhandlungen schwierig werden.	und ihn wie einen Freund zu behandeln,
why the buildings failed.	warum die Gebäude nicht funktionieren.	warum die Gebäude nicht standhielten.
We have confusion about what we should think about a new technology.	Wir haben Zweifel, was wir über eine neue Technologie denken sollten.	Wir sind verwirrt über das, was wir über neue Technik denken sollten.
virtually like this and showing people	virtually like this and showing people	wie hier zu sehen ist, und den Menschen
and I professionally watch YouTube videos.	Ich schaue regelmäßig YouTube-Videos.	Beruflich schaue ich mir YouTube-Videos an.
we lived for all those years,	Wir leben für alle diese Jahre,	lebten wir all die Jahre,
GH: Oh, D and F -- too familiar.	GH: Oh, D und F — doch recht vertraut.	Nun, sie hat C, G, H, A, E ausgesucht.
which is around 12,000 years old.	das etwa 12,000 Jahre alt ist.	der etwa 12000 Jahre alt ist.
BLEU score:	14.732444177435028

=== Tanhim/translation-En2De ===
source	translation	reference
to the atom that it hits.	auf das Atom, das es trifft.	vom Atom, auf welches er trifft.
People are more likely to support the use	Die Menschen werden die Nutzung eher unterstützen.	Die Menschen unterstützen den Einsatz von Gewalt eher,
That's why in negotiations, often, when things get tough,	Das ist der Grund, warum in den Verhandlungen, oft, wenn die Dinge hart werden,	und ihn wie einen Freund zu behandeln,
why the buildings failed.	warum die Gebäude versagt haben.	warum die Gebäude nicht standhielten.
We have confusion about what we should think about a new technology.	Wir haben Verwirrung darüber, was wir über eine neue Technologie denken sollten.	Wir sind verwirrt über das, was wir über neue Technik denken sollten.
